"id";"taskname";"tasksequence";"istask";"sampen";"apen";"pen";"lle";"energy";"energyen"
"1";"HiddenExit";"1";"1";"2.222212785553928";"0.5225902482529796";"2.5915575383712204";"0.0003832765838445935";"464257.7004357066";"2.6252597752781925"
"2";"HiddenExit";"2";"0";"2.084185705101814";"0.5089441957689567";"2.6405253801966313";"0.0010279398512512234";"410181.82748199394";"2.6751258951178327"
"3";"HiddenExit";"3";"1";"2.1706347283668417";"0.5482661031452651";"2.6696267716695963";"-0.05258412249360379";"391819.97737356584";"2.633761250929814"
"4";"HiddenExit";"4";"0";"1.8949910662816896";"0.4838283331858606";"2.435405686643142";"0.01024884721912498";"385717.1901780327";"2.641865635149137"
"14";"HiddenExit";"1";"1";"2.242598181020599";"0.5832236653889851";"2.600318691309085";"0.0064938614240406655";"337466.81317251164";"2.635443865897602"
"15";"HiddenExit";"2";"0";"2.0172979096084034";"0.44958459331094724";"2.8024195376566365";"0.0005152225252941609";"284396.89339129545";"2.6450635646346057"
"16";"HiddenExit";"3";"1";"2.073935930415503";"0.467312701285044";"2.363223388989625";"0.0010467476131041044";"371782.5214261556";"2.641309329285348"
"17";"HiddenExit";"4";"0";"2.1262128205526194";"0.5484613042698596";"2.9680652452515948";"0";"261313.42637165514";"2.655876742405811"
"27";"HiddenExit";"1";"1";"2.059644596185697";"0.4280560854193647";"2.4093055660977987";"0.0006602699194539943";"280463.9381496193";"2.692012650875102"
"28";"HiddenExit";"2";"0";"2.034116269317286";"0.48563773386012965";"2.342979124973553";"0.005497341971241049";"317608.207704522";"2.6795831016241527"
"29";"HiddenExit";"3";"1";"1.929935368447579";"0.42979670679423343";"2.4832557572318015";"0";"429031.1533239902";"2.591558082267847"
"30";"HiddenExit";"4";"0";"2.050793864036586";"0.44416058919577717";"2.3460416389426664";"0.0004972443051444974";"344331.8304001711";"2.619147635217458"
"40";"HiddenExit";"1";"1";"2.211353776764542";"0.5969485206496037";"2.4545250478006033";"0";"475198.09898317454";"2.654489555700962"
"41";"HiddenExit";"2";"0";"2.047882300098641";"0.46379471490001745";"2.466757422041255";"0.001030619334515934";"447166.1738829605";"2.6436585068521516"
"42";"HiddenExit";"3";"1";"2.0427064246543";"0.4560683055010415";"2.566905942059327";"0.0036071400071581265";"375558.6142798565";"2.6551469317669336"
"43";"HiddenExit";"4";"0";"1.9397722638744452";"0.4793111772666099";"2.2521326159782236";"0.007013023311414432";"417206.3762824618";"2.641232372636361"
"53";"HiddenExit";"1";"1";"2.1268373907449836";"0.5833016228209433";"2.577083260026335";"0.0009570507448884959";"327440.3666939596";"2.6481950822433755"
"54";"HiddenExit";"2";"0";"1.9315345747805417";"0.4977968419456893";"2.499883394393668";"0";"308056.12388222915";"2.643938696371185"
"55";"HiddenExit";"3";"1";"1.993996335722951";"0.35536030220670334";"2.369192576814957";"0.005369870117544242";"297346.68846679816";"2.644067455906014"
"56";"HiddenExit";"4";"0";"2.033436215656583";"0.5122852455343341";"2.5788280418526806";"0.021308737561494352";"292771.56039828603";"2.655943599039887"
"66";"HiddenExit";"1";"1";"2.181894968317848";"0.4423861261218991";"2.535629621312613";"-0.0038423242741642016";"299164.6613197236";"2.646490281162591"
"67";"HiddenExit";"2";"0";"2.081859220919471";"0.3801249984163153";"2.307154108583796";"0";"406163.20056195074";"2.6443914413293825"
"68";"HiddenExit";"3";"1";"2.061978881027702";"0.4692646336579691";"2.5498464254642426";"0.005061667167166155";"382424.76899742987";"2.64770811654867"
"69";"HiddenExit";"4";"0";"2.050275792649229";"0.5342890433078811";"2.3590600239782438";"0.0053076765046531395";"419860.7742271378";"2.6349114475255933"
"79";"HiddenExit";"1";"1";"1.9904576477773877";"0.374775079024972";"2.4985744521615407";"0.002094905467772674";"346573.08612222865";"2.6476305554922677"
"80";"HiddenExit";"2";"0";"2.0999490583250555";"0.502043411244836";"2.3369967198460104";"0.0004577587828560331";"325574.06103714777";"2.6425576201142267"
"81";"HiddenExit";"3";"1";"2.036460741617244";"0.4354940890014376";"2.275698649839118";"0";"336578.60367315856";"2.6501950328909616"
"82";"HiddenExit";"4";"0";"2.1813008858786733";"0.5357259563329935";"2.490051850840594";"0.007708384690190031";"307499.8158038133";"2.6439895969124954"
"92";"HiddenExit";"1";"1";"2.223744523321251";"0.5410119416502859";"2.3134847118481243";"0.006400669278019766";"375803.1355671142";"2.65574446479967"
"93";"HiddenExit";"2";"0";"2.2499939398908952";"0.5211004532051602";"2.3931147832105393";"0.0007827881878436716";"395280.51934145327";"2.6724632351861155"
"94";"HiddenExit";"3";"1";"2.0422258593616567";"0.5050638555413505";"2.338287947760212";"0.0005531915631947601";"405162.2858197788";"2.6396395347201946"
"95";"HiddenExit";"4";"0";"2.072222277198918";"0.4692704057347199";"2.2805327045756685";"0";"372559.31436424877";"2.648073409671273"
"105";"HiddenExit";"1";"1";"1.894572463821148";"0.44227092847443084";"2.9418858198710964";"0.010146999965094524";"157622.61880016996";"2.6487976104074464"
"106";"HiddenExit";"2";"0";"2.1793226458665678";"0.47942540782459275";"2.545460531519712";"0.000215140017287355";"292249.7413585653";"2.591444193752269"
"107";"HiddenExit";"3";"1";"1.9264284384261432";"0.4698025837385611";"2.5685502642363898";"0";"191598.08688364082";"2.64919682785584"
"108";"HiddenExit";"4";"0";"2.1094869149292017";"0.5507909344981172";"2.800546863032478";"0.011662723480554159";"270405.0113288029";"2.663593023018576"
"118";"HiddenExit";"1";"1";"2.0162900143441793";"0.512849593455809";"2.6650459356972513";"0.00375712108198419";"304879.0084388453";"2.642554273117541"
"119";"HiddenExit";"2";"0";"1.7618058522153097";"0.5027402991368022";"2.6440710515562076";"0.00285221460335615";"300619.03691117774";"2.6529059115172196"
"120";"HiddenExit";"3";"1";"2.198513593259108";"0.48699666275461473";"2.5707567842985983";"0.005747480210549061";"357396.987458142";"2.636782702841899"
"121";"HiddenExit";"4";"0";"2.133744503766716";"0.49607299972619767";"2.618904459137266";"0.006545597750226732";"301377.5189212283";"2.65019057657782"
"131";"HiddenExit";"1";"1";"2.1668637004896896";"0.5097128561035267";"2.811428993165642";"0.007370361024191011";"289922.7219936089";"2.6487800606172427"
"132";"HiddenExit";"2";"0";"2.1750525185987764";"0.5345424738044606";"2.619456230317054";"0";"314764.1053608874";"2.651067664888874"
"133";"HiddenExit";"3";"1";"2.0813034919451194";"0.5713740692829927";"2.8204545577984694";"0";"311989.64791242906";"2.6503618259423893"
"134";"HiddenExit";"4";"0";"2.004967898698914";"0.3291480711279471";"2.3045915118415676";"0";"309234.7329540007";"2.6284685441539475"
"144";"HiddenExit";"1";"1";"1.9032237678238992";"0.4216396380355669";"2.449512203706424";"0";"489376.3214007184";"2.646507772317971"
"145";"HiddenExit";"2";"0";"2.238789386069322";"0.5893900855152086";"2.4527726737258893";"0.000645015288775687";"457731.89092977036";"2.6453725887099924"
